dist_group,main_mode,share
0 - 1000,bike,0.12912909774058592
0 - 1000,car,0.16479606831482882
0 - 1000,pt,0.022371238960634685
0 - 1000,ride,0.04687537253321555
0 - 1000,walk,0.6368282224507349
1000 - 2000,bike,0.17486145211422632
1000 - 2000,car,0.2735509467266366
1000 - 2000,pt,0.08577318666391134
1000 - 2000,ride,0.0992362566148718
1000 - 2000,walk,0.36657815788035386
2000 - 5000,bike,0.1912057791779161
2000 - 5000,car,0.4931026165019779
2000 - 5000,pt,0.12831169343824522
2000 - 5000,ride,0.08820279589739154
2000 - 5000,walk,0.09917711498446925
5000 - 10000,bike,0.06464288026408263
5000 - 10000,car,0.6133031535690353
5000 - 10000,pt,0.15969105300335723
5000 - 10000,ride,0.14860268751628852
5000 - 10000,walk,0.013760225647236298
10000 - 20000,bike,0.008178525757609795
10000 - 20000,car,0.6793347717024805
10000 - 20000,pt,0.16869421957755085
10000 - 20000,ride,0.14282453656740268
10000 - 20000,walk,0.0009679463949563106
20000+,bike,0.028935416412438665
20000+,car,0.5994742567653025
20000+,pt,0.09072360898880984
20000+,ride,0.28086671783344896
20000+,walk,0.0
