age,economic_status,dist_group,main_mode,share
,,0 - 1000,bike,0.032655612691786885
,,0 - 1000,car,0.04167547573846994
,,0 - 1000,pt,0.005657489502494098
,,0 - 1000,ride,0.01185436928633314
,,0 - 1000,walk,0.16104825440140907
,,1000 - 2000,bike,0.023255454766641575
,,1000 - 2000,car,0.03638052635990729
,,1000 - 2000,pt,0.011407285245179609
,,1000 - 2000,ride,0.013197787442657472
,,1000 - 2000,walk,0.048752550467535516
,,2000 - 5000,bike,0.04087923269708797
,,2000 - 5000,car,0.10542388776215117
,,2000 - 5000,pt,0.027432662319995728
,,2000 - 5000,ride,0.01885749810244058
,,2000 - 5000,walk,0.021203775215933595
,,5000 - 10000,bike,0.011942672065260576
,,5000 - 10000,car,0.11330680826322677
,,5000 - 10000,pt,0.029502674849636906
,,5000 - 10000,ride,0.027454116490064653
,,5000 - 10000,walk,0.0025421803882745542
,,10000 - 20000,bike,0.0012090143890638972
,,10000 - 20000,car,0.10042464110546154
,,10000 - 20000,pt,0.02493771431011178
,,10000 - 20000,ride,0.021113453076882904
,,10000 - 20000,walk,0.00014308949485863318
,,20000+,bike,0.001960136426682156
,,20000+,car,0.04060944936112114
,,20000+,pt,0.006145778177313169
,,20000+,ride,0.01902640960201765
,,20000+,walk,0.0
0 - 12,,0 - 1000,bike,0.03462130683537337
0 - 12,,0 - 1000,car,0.0
0 - 12,,0 - 1000,pt,0.002929940498697246
0 - 12,,0 - 1000,ride,0.04813466959921054
0 - 12,,0 - 1000,walk,0.1936758201574987
0 - 12,,1000 - 2000,bike,0.03684881841911733
0 - 12,,1000 - 2000,car,0.006200174470748215
0 - 12,,1000 - 2000,pt,0.016491292803213813
0 - 12,,1000 - 2000,ride,0.03341071030511212
0 - 12,,1000 - 2000,walk,0.05164554849741785
0 - 12,,2000 - 5000,bike,0.027723151002977574
0 - 12,,2000 - 5000,car,0.0
0 - 12,,2000 - 5000,pt,0.05605210375529834
0 - 12,,2000 - 5000,ride,0.06042596335280004
0 - 12,,2000 - 5000,walk,0.021762628055962296
0 - 12,,5000 - 10000,bike,0.015928917540458578
0 - 12,,5000 - 10000,car,0.006200174470748215
0 - 12,,5000 - 10000,pt,0.0770469202248743
0 - 12,,5000 - 10000,ride,0.09344088929268825
0 - 12,,5000 - 10000,walk,0.0
0 - 12,,10000 - 20000,bike,0.003009045044028792
0 - 12,,10000 - 20000,car,0.006200174470748215
0 - 12,,10000 - 20000,pt,0.04388628244109129
0 - 12,,10000 - 20000,ride,0.09326431519064596
0 - 12,,10000 - 20000,walk,0.0
0 - 12,,20000+,bike,0.0
0 - 12,,20000+,car,0.0
0 - 12,,20000+,pt,0.020102133436019427
0 - 12,,20000+,ride,0.05099902013526958
0 - 12,,20000+,walk,0.0
12 - 18,,0 - 1000,bike,
12 - 18,,0 - 1000,car,
