age,economic_status,main_mode,share
,,bike,0.11190212303652305
,,car,0.43782078859033785
,,pt,0.10508360440473129
,,ride,0.1115036340003964
,,walk,0.23368984996801137
0 - 12,,bike,0.11813123884195564
0 - 12,,car,0.018600523412244642
0 - 12,,pt,0.21650867315919442
0 - 12,,ride,0.3796755678757265
0 - 12,,walk,0.2670839967108789
12 - 18,,bike,
12 - 18,,car,
12 - 18,,pt,
12 - 18,,ride,
12 - 18,,walk,
18 - 25,,bike,0.05582621474537234
18 - 25,,car,0.5376163547541235
18 - 25,,pt,0.15578479589627015
18 - 25,,ride,0.06447831519474892
18 - 25,,walk,0.186294319409485
25 - 35,,bike,0.11444381470052847
25 - 35,,car,0.6376136684348844
25 - 35,,pt,0.06987792641628185
25 - 35,,ride,0.058870661848826174
25 - 35,,walk,0.11919392859947889
35 - 66,,bike,0.13088585957772117
35 - 66,,car,0.5531307198589006
35 - 66,,pt,0.06874945919663185
35 - 66,,ride,0.04913460739686878
35 - 66,,walk,0.19809935396987763
66+,,bike,0.11199846565548525
66+,,car,0.24550444583323078
66+,,pt,0.08267519943795633
66+,,ride,0.13215106813061414
66+,,walk,0.4276708209427136
,very_low,bike,0.2079771482564474
,very_low,car,0.21942266334040375
,very_low,pt,0.1814463702162244
,very_low,ride,0.11220926241319937
,very_low,walk,0.27894455577372507
,low,bike,0.07407404646720855
,low,car,0.42001413059186543
,low,pt,0.12879617924694192
,low,ride,0.11755228554422197
,low,walk,0.2595633581497621
,medium,bike,0.08909454824059068
,medium,car,0.4950979816192109
,medium,pt,0.07354850886414539
,medium,ride,0.09911997681930391
,medium,walk,0.243138984456749
,high,bike,0.1275164524571972
,high,car,0.4761928132386924
,high,pt,0.09362653040156979
,high,ride,0.1389970258805713
,high,walk,0.16366717802196945
,very_high,bike,0.2223663099521296
,very_high,car,0.32762406782255343
,very_high,pt,0.2358778552635638
,very_high,ride,0.06420649194857886
,very_high,walk,0.14992527501317437
