purpose,main_mode,share
work,bike,0.12829343442431387
work,car,0.6678053123213729
work,pt,0.09740154909392844
work,ride,0.003669658614572709
work,walk,0.10283004554581214
work_business,bike,0.1330828282653198
work_business,car,0.5302398286171018
work_business,pt,0.04513259238355156
work_business,ride,0.18473144068436537
work_business,walk,0.10681331004966134
edu,bike,0.16219462545895066
edu,car,0.10239273777052954
edu,pt,0.313503711286145
edu,ride,0.15835732573967534
edu,walk,0.2635515997446994
shopping,bike,0.12308268223339898
shopping,car,0.43939285816979984
shopping,pt,0.05603407924611561
shopping,ride,0.12485798873996942
shopping,walk,0.2566323916107161
personal_business,bike,0.11139733160062804
personal_business,car,0.46318588204277694
personal_business,pt,0.07060264023401455
personal_business,ride,0.0547032813224675
personal_business,walk,0.30011086480011295
transport,bike,0.02046291975613773
transport,car,0.6488093270657374
transport,pt,0.02565736970043922
transport,ride,0.1688404541316148
transport,walk,0.13622992934607084
leisure,bike,0.12222490078517091
leisure,car,0.2675577935014214
leisure,pt,0.1307526484410213
leisure,ride,0.12462345386630395
leisure,walk,0.35484120340608244
home,bike,0.11392667678598446
home,car,0.4167926827625813
home,pt,0.1197080487198588
home,ride,0.11929208026161972
home,walk,0.2302805114699557
other,bike,0.02949135809823662
other,car,0.2660422158497593
other,ride,0.3196873321612578
other,walk,0.3847790938907463
